id,Qual a principal razão para você ter escolhido a sua instituição de educação superior?,Categoria
1158,Proximidade da minha residência,Pública
1159,Gratuidade,Pública
1161,Facilidade de acesso,Pública
1163,Gratuidade,Pública
1164,Proximidade da minha residência,Pública
1165,Proximidade da minha residência,Pública
1167,Gratuidade,Pública
1169,Gratuidade,Pública
1171,Gratuidade,Pública
1172,Foi a única onde tive aprovação,Pública
1173,Gratuidade,Pública
1174,Gratuidade,Pública
1175,Facilidade de acesso,Pública
1176,Gratuidade,Pública
1177,Proximidade da minha residência,Pública
1179,Gratuidade,Pública
1183,Proximidade da minha residência,Pública
1188,Foi a única onde tive aprovação,Pública
1189,Gratuidade,Pública
1190,Foi a única onde tive aprovação,Pública
1191,Gratuidade,Pública
1194,Gratuidade,Pública
1196,Gratuidade,Pública
1198,Gratuidade,Pública
1199,Gratuidade,Pública
1200,Outro motivo,Pública
1201,Gratuidade,Pública
1203,Proximidade da minha residência,Pública
1204,Gratuidade,Pública
1205,Gratuidade,Pública
1208,Gratuidade,Pública
1211,Gratuidade,Pública
1214,Proximidade da minha residência,Pública
1217,NA,Pública
1218,Outro motivo,Pública
1219,Proximidade da minha residência,Pública
1221,Gratuidade,Pública
1222,Gratuidade,Pública
1223,Gratuidade,Pública
1224,Proximidade da minha residência,Pública
1227,Gratuidade,Pública
1229,Gratuidade,Pública
1230,Proximidade da minha residência,Pública
1231,Gratuidade,Pública
1232,Proximidade da minha residência,Pública
1233,NA,Pública
1235,Gratuidade,Pública
1237,Gratuidade,Pública
1238,Proximidade da minha residência,Pública
1239,NA,Pública
1240,Gratuidade,Pública
1241,Gratuidade,Pública
1242,Gratuidade,Pública
1244,NA,Pública
1246,Outro motivo,Pública
1247,Gratuidade,Pública
1248,Outro motivo,Pública
1249,Proximidade da minha residência,Pública
1250,Proximidade da minha residência,Pública
1251,Outro motivo,Pública
1252,Proximidade da minha residência,Pública
1253,Gratuidade,Pública
1254,Gratuidade,Pública
1255,Gratuidade,Pública
1257,Proximidade da minha residência,Pública
1259,Gratuidade,Pública
1263,Outro motivo,Pública
1264,Gratuidade,Pública
1270,Facilidade de acesso,Pública
1271,Proximidade da minha residência,Pública
1272,Gratuidade,Pública
1273,Gratuidade,Pública
1274,Gratuidade,Pública
1275,Outro motivo,Pública
1276,Foi a única onde tive aprovação,Pública
1277,NA,Pública
1278,Facilidade de acesso,Pública
1281,Gratuidade,Pública
1282,Proximidade da minha residência,Pública
1284,NA,Pública
