id,A,B,C,D,E,F,G,H,I,J,K,L,Categoria
269,6,NA,6,NA,NA,6,6,NA,6,5,5,6,5,Pública
270,5,5,5,5,3,5,5,5,5,5,6,5,5,Pública
271,3,NA,3,4,NA,3,4,4,4,4,4,4,4,Pública
278,6,3,6,3,3,3,6,4,6,6,6,6,6,Pública
281,6,6,6,6,6,6,6,6,5,6,6,6,6,Pública
283,5,3,5,3,2,3,3,2,3,3,4,4,4,Pública
285,4,5,5,1,2,5,3,5,3,4,2,3,6,Pública
287,6,6,6,5,5,6,6,6,6,6,6,6,6,Pública
288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
289,3,2,3,3,4,3,4,3,3,4,3,3,3,Pública
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pública
292,5,2,5,3,2,4,4,6,4,5,5,5,6,Pública
293,3,5,4,5,6,4,4,4,3,6,5,4,6,Pública
300,5,1,6,5,5,6,6,6,6,6,6,6,6,Pública
303,5,3,5,3,4,5,5,5,5,5,5,5,5,Pública
304,2,1,2,1,3,4,3,4,2,5,6,3,3,Pública
305,6,NA,5,3,6,6,4,4,3,6,5,5,6,Pública
306,2,1,2,4,1,1,1,4,1,3,1,2,1,Pública
307,1,1,1,1,1,1,3,3,1,3,3,3,NA,Pública
308,5,5,5,3,5,5,4,5,4,5,5,5,5,Pública
309,4,3,4,4,4,4,5,5,2,5,5,5,4,Pública
310,5,4,4,4,4,6,5,6,4,6,6,6,6,Pública
312,4,4,4,4,4,5,4,5,3,6,5,5,6,Pública
313,6,5,6,5,5,5,5,5,5,6,5,5,5,Pública
314,NA,NA,1,1,3,3,3,4,1,3,1,3,2,Pública
315,6,4,1,NA,5,NA,5,5,4,5,4,4,4,Pública
316,5,6,6,6,5,4,5,6,6,5,3,4,2,Pública
317,4,NA,4,4,5,5,5,5,5,4,5,5,5,Pública
318,6,NA,5,6,6,6,4,6,4,5,4,6,6,Pública
319,4,3,6,3,5,5,3,4,6,6,4,4,4,Pública
320,5,NA,6,5,5,5,5,5,5,5,6,6,4,Pública
321,5,1,6,6,6,5,5,6,6,6,3,4,4,Pública
322,6,6,2,4,6,5,5,5,3,6,6,6,6,Pública
323,3,2,3,4,3,3,2,3,5,4,3,2,2,Pública
325,3,5,5,5,5,5,4,5,2,4,4,3,4,Pública
326,6,6,6,5,6,6,4,5,4,6,6,6,6,Pública
327,6,6,6,6,6,5,5,6,5,6,6,6,6,Pública
328,3,3,3,3,3,3,3,3,3,3,3,3,3,Pública
329,3,3,4,5,4,5,3,3,4,6,5,4,4,Pública
330,6,NA,5,2,4,6,5,4,3,6,5,6,5,Pública
331,4,6,6,5,6,6,5,6,6,6,6,5,5,Pública
332,5,5,4,4,4,4,5,4,5,3,2,4,5,Pública
333,4,5,5,5,5,5,4,5,5,6,4,3,5,Pública
334,6,5,6,5,6,5,6,6,6,6,5,6,4,Pública
335,4,4,4,5,3,5,5,5,3,6,5,5,5,Pública
336,6,1,4,1,1,6,2,4,6,5,4,3,5,Pública
337,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
338,4,NA,5,4,5,5,5,5,4,5,4,6,5,Pública
339,5,NA,5,2,4,5,5,4,2,4,2,3,3,Pública
340,4,NA,5,3,5,4,5,NA,4,4,3,3,4,Pública
341,6,6,6,6,6,6,6,6,6,6,6,6,5,Pública
344,6,4,4,2,5,6,5,6,2,6,5,4,6,Pública
346,2,2,3,2,2,3,3,NA,2,4,3,3,3,Pública
348,4,4,4,4,5,3,5,4,4,4,3,4,3,Pública
351,5,NA,6,5,3,5,5,4,4,4,3,5,2,Pública
352,5,5,5,5,6,6,6,6,5,6,6,6,6,Pública
353,4,3,5,4,5,6,5,5,4,5,6,5,4,Pública
354,2,4,5,4,3,5,2,2,3,3,4,3,2,Pública
355,4,3,4,4,3,4,4,3,3,5,3,1,5,Pública
356,3,3,2,1,4,5,6,5,2,5,5,5,5,Pública
357,5,5,NA,NA,NA,5,4,4,NA,6,4,4,3,Pública
358,4,5,NA,5,2,3,4,4,4,4,3,2,2,Pública
359,4,2,2,5,2,6,5,6,5,6,4,5,6,Pública
360,5,5,3,1,2,4,2,4,5,5,4,5,6,Pública
361,6,5,5,5,4,4,5,6,5,5,5,4,6,Pública
362,5,3,5,3,1,1,2,1,1,2,2,2,3,Pública
363,5,1,4,4,5,4,3,5,5,4,1,6,1,Pública
364,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,Pública
365,4,4,6,5,5,6,5,5,5,6,6,6,5,Pública
366,1,1,1,2,2,4,4,5,3,6,5,6,5,Pública
367,6,6,6,6,6,6,6,5,6,6,5,6,6,Pública
368,6,NA,6,6,6,6,6,6,6,6,NA,6,6,Pública
369,5,4,5,6,6,6,5,5,6,6,5,5,6,Pública
370,5,4,6,6,5,6,6,6,6,6,5,6,5,Pública
372,2,NA,5,4,5,5,5,5,5,5,6,5,6,Pública
373,5,6,6,6,5,6,5,6,6,5,6,6,6,Pública
374,3,5,6,6,6,6,6,6,6,6,6,6,6,Pública
375,1,NA,5,4,3,5,5,5,6,5,5,5,5,Pública
376,5,5,6,6,6,6,5,5,6,6,6,5,6,Pública
377,5,NA,5,5,NA,5,5,5,5,5,5,5,5,Pública
378,4,4,6,5,4,5,5,5,5,6,6,6,5,Pública
379,4,4,5,3,4,4,4,5,5,4,4,4,5,Pública
380,NA,NA,4,4,5,5,5,5,5,5,5,5,5,Pública
381,5,5,5,5,5,5,5,5,5,5,5,5,6,Pública
382,NA,NA,6,6,6,6,6,6,6,6,6,6,6,Pública
384,NA,4,6,5,6,5,5,6,5,6,5,6,5,Pública
385,NA,3,6,6,NA,5,5,6,6,5,6,6,5,Pública
386,5,4,NA,6,5,6,6,6,6,6,5,6,5,Pública
387,NA,NA,6,6,6,6,6,6,6,6,6,6,6,Pública
388,NA,NA,6,6,6,6,6,6,6,6,6,6,6,Pública
391,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
392,6,6,6,6,6,6,6,6,6,6,5,6,6,Pública
393,6,NA,6,5,5,5,5,5,6,5,5,5,5,Pública
394,6,4,6,6,6,6,6,6,6,6,6,6,6,Pública
395,5,5,5,5,5,5,5,5,5,6,6,6,6,Pública
396,4,6,6,4,6,6,6,6,6,6,6,6,6,Pública
397,6,6,5,6,6,6,6,6,6,6,6,6,6,Pública
398,1,1,3,1,2,4,5,5,3,6,6,5,4,Pública
399,4,NA,6,3,NA,6,5,6,5,5,6,6,5,Pública
400,3,4,5,4,5,5,4,6,4,5,5,5,5,Pública
401,3,1,5,3,4,4,4,4,4,5,5,5,5,Pública
402,1,1,NA,5,NA,6,6,6,1,6,2,4,6,Pública
403,6,6,5,6,6,6,6,6,6,6,6,6,6,Pública
404,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
405,3,3,3,4,4,4,3,4,2,4,4,4,4,Pública
406,5,NA,4,1,3,5,5,4,5,5,5,3,4,Pública
407,3,3,5,3,4,5,5,5,6,5,6,5,6,Pública
408,5,5,5,5,5,5,5,5,5,5,5,5,5,Pública
409,6,6,6,6,6,6,6,6,6,6,6,6,6,Pública
410,4,4,6,5,3,5,4,5,5,5,5,5,4,Pública
