id,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,CO_RS_I9,Categoria
844,59.6,64.3,57.1,75,75,75,75,75,75,75,58,D,Pública
845,65,71.6,71.4,72,49,65,45,95,75,100,62.8,D,Pública
846,31.8,25.7,42.9,0,0,0,0,0,0,0,33.8,D,Pública
847,65.2,53.5,42.9,69.5,63,75,60,76,80,75,69.1,C,Pública
848,57,85,85.7,84,71,35,80,97,85,100,47.7,E,Pública
849,39.5,56.7,57.1,56,61,65,60,51,75,45,33.8,C,Pública
850,57.8,74,71.4,78,63,75,60,93,65,100,52.4,E,Pública
851,53.4,63.9,42.9,95.5,96,80,100,95,75,100,49.9,D,Pública
852,70,52.5,42.9,67,63,75,60,71,55,75,75.8,E,Pública
853,54.9,59.3,42.9,84,73,65,75,95,75,100,53.4,D,Pública
854,62.5,63.9,57.1,74,79,75,80,69,65,70,62,D,Pública
855,25.1,17.2,28.6,0,0,65,0,0,75,0,27.7,B,Pública
856,59,80.2,85.7,72,71,55,75,73,65,75,51.9,D,Pública
857,34.8,17.2,28.6,0,0,50,0,0,0,0,40.6,D,Pública
861,41.9,26.4,28.6,23,46,30,50,0,0,0,47,B,Pública
862,44.1,34.3,57.1,0,0,0,0,0,0,0,47.4,E,Pública
864,65.2,57.1,57.1,57,59,55,60,55,75,50,67.9,B,Pública
865,52.7,68.4,71.4,64,77,65,80,51,75,45,47.5,D,Pública
866,46.1,67.3,57.1,82.5,67,75,65,98,90,100,39,D,Pública
867,56.5,84.8,85.7,83.5,94,70,100,73,65,75,47.1,C,Pública
870,47.1,55.7,57.1,53.5,34,50,30,73,65,75,44.2,D,Pública
871,25.7,36,28.6,47,42,50,40,52,60,50,22.3,D,Pública
878,47,49.7,57.1,38.5,51,55,50,26,50,20,46.1,C,Pública
882,21,39.7,57.1,13.5,27,35,25,0,0,0,14.8,B,Pública
883,48.7,65.9,57.1,79,87,75,90,71,75,70,43,E,Pública
884,16.9,38,28.6,52,74,50,80,30,50,25,9.9,B,Pública
885,30,64.7,57.1,76,82,50,90,70,70,70,18.4,C,Pública
